target_id	length	eff_length	est_counts	tpm
BgeEVm009905t1	11956	11796.1	9.19819	0.324163
BgeEVm000069t1	11936	11776.1	477.576	16.8594
BgeEVm021746t1	9163	9003.07	44.3557	2.04813
BgeEVm017496t1	8214	8054.07	57.1253	2.94857
BgeEVm004974t1	8567	8407.07	223.658	11.0596
BgeEVm000057t1	11850	11690.1	35	1.24466
BgeEVm015095t1	11805	11645.1	31.736	1.13295
BgeEVm020447t1	7969	7809.07	103.405	5.50478
BgeEVm022225t1	6900	6740.07	20.721	1.27804
BgeEVm018650t1	2817	2657.07	2	0.312914
BgeEVm017886t1	5235	5075.07	313.138	25.6503
BgeEVm000070t1	11671	11511.1	38.1161	1.37655
BgeEVm000051t1	11665	11505.1	6.94619e-07	2.5099e-08
BgeEVm001638t1	11639	11479.1	10.31	0.37338
BgeEVm000167t1	11607	11447.1	81.6163	2.96402
BgeEVm005459t1	11577	11417.1	56.4448	2.05527
BgeEVm005979t5	11547	11387.1	25.5177	0.931596
BgeEVm021512t1	7365	7205.07	0.866672	0.0500052
BgeEVm004258t3	11535	11375.1	15.9853	0.584204
BgeEVm006551t1	11525	11365.1	8.74331	0.319818
BgeEVm003839t4	4573	4413.07	37.2236	3.50652
BgeEVm000368t4	11477	11317.1	67.4474	2.47759
BgeEVm015823t1	1431	1271.07	7.8337	2.56209
BgeEVm010380t1	11400	11240.1	122.913	4.54598
BgeEVm021111t1	11395	11235.1	11.9678	0.44283
BgeEVm016952t1	7455	7295.07	97.9051	5.57923
BgeEVm000100t1	11352	11192.1	40.971	1.52182
BgeEVm020114t1	2324	2164.07	0	0
BgeEVm000450t1	11345	11185.1	7.50615e-07	2.78983e-08
BgeEVm020923t1	2235	2075.07	95.6454	19.1615
BgeEVm020905t1	11288	11128.1	13.6228	0.508915
BgeEVm021581t1	3106	2946.07	18.3398	2.58791
BgeEVm002629t1	11276	11116.1	102.07	3.81722
BgeEVm014422t1	5832	5672.07	57.0719	4.18292
BgeEVm018355t1	11178	11018.1	44.1638	1.66633
BgeEVm022175t1	4303	4143.07	0	0
BgeEVm018611t1	8364	8204.07	44.2787	2.24369
BgeEVm007684t3	11146	10986.1	94.6603	3.58199
BgeEVm000055t1	11113	10953.1	885.067	33.5922
BgeEVm000122t1	11086	10926.1	72.0172	2.74013
BgeEVm005682t1	1978	1818.07	2.97291	0.679781
BgeEVm000060t1	10999	10839.1	55	2.10945
BgeEVm013426t1	10996	10836.1	81.9219	3.14287
BgeEVm020696t1	10996	10836.1	44.4212	1.70419
BgeEVm019522t1	353	194.769	1	2.13442
BgeEVm010633t1	8606	8446.07	14.6304	0.720114
BgeEVm031281t1	10917	10757.1	135.413	5.23317
BgeEVm000080t1	10915	10755.1	0	0
BgeEVm002134t3	10913	10753.1	135.056	5.22133
BgeEVm001965t5	2837	2677.07	422.572	65.6204
BgeEVm022918t1	2780	2620.07	53.8199	8.53942
BgeEVm020057t1	7951	7791.07	22.1627	1.18256
BgeEVm015363t1	1995	1835.07	12.5452	2.84198
BgeEVm020068t1	1017	857.074	0	0
BgeEVm002800t2	4329	4169.07	7.1236	0.710328
BgeEVm018237t1	10731	10571.1	18.4082	0.723921
BgeEVm020468t1	8733	8573.07	4.01254	0.194572
BgeEVm019114t1	6010	5850.07	148.1	10.5243
BgeEVm000200t1	10707	10547.1	25.6364	1.01047
BgeEVm008170t1	1570	1410.07	11	3.24302
BgeEVm001884t1	10649	10489.1	32.092	1.27192
BgeEVm008684t6	5195	5035.07	13.7958	1.13904
BgeEVm017437t1	2697	2537.07	8.63401	1.41474
BgeEVm000178t1	10582	10422.1	0	0
BgeEVm002436t1	10561	10401.1	41.401	1.65475
BgeEVm000878t1	10556	10396.1	128.667	5.14512
BgeEVm015263t1	10539	10379.1	22.1208	0.886015
BgeEVm020509t1	2258	2098.07	7.33553	1.45348
BgeEVm000182t4	10467	10307.1	170.839	6.89051
BgeEVm000822t1	10432	10272.1	0	0
BgeEVm017005t1	4410	4250.07	0	0
BgeEVm006443t1	10403	10243.1	6.05866	0.245892
BgeEVm012995t1	6799	6639.07	3.93637	0.246483
BgeEVm016941t1	5867	5707.07	137.659	10.0275
BgeEVm026367t1	10337	10177.1	82.1656	3.35634
BgeEVm021239t1	4811	4651.07	25.4994	2.27916
BgeEVm000475t1	10309	10149.1	590.455	24.1858
BgeEVm000680t1	10293	10133.1	3.15336	0.129369
BgeEVm019304t1	10274	10114.1	24.1142	0.991164
BgeEVm000108t1	10269	10109.1	4.43249	0.182278
BgeEVm003689t29	4217	4057.07	48.1348	4.93225
BgeEVm000180t3	10238	10078.1	62.0586	2.5599
BgeEVm021747t1	10151	9991.07	173.297	7.21071
BgeEVm020507t1	2194	2034.07	10.8134	2.21001
BgeEVm030719t1	10127	9967.07	139.128	5.8029
BgeEVm002686t1	10074	9914.07	0	0
BgeEVm000095t1	10065	9905.07	53	2.22442
BgeEVm001602t1	10064	9904.07	13.9479	0.585456
BgeEVm022801t1	6993	6833.07	52.7855	3.21142
BgeEVm007446t1	2055	1895.07	4.2073	0.922946
BgeEVm019305t1	10053	9893.07	146.217	6.14421
BgeEVm010634t1	10053	9893.07	33.589	1.41145
BgeEVm022802t1	747	587.074	1.36807	0.968752
BgeEVm016883t1	10010	9850.07	3.88465	0.16395
BgeEVm021527t1	10008	9848.07	226.832	9.57528
BgeEVm007916t1	9969	9809.07	44.098	1.86892
BgeEVm021764t1	1291	1131.07	5.38192	1.97809
BgeEVm000276t1	9944	9784.07	102.469	4.35383
BgeEVm020469t1	9924	9764.07	36.5297	1.5553
BgeEVm015172t1	9915	9755.07	55.5282	2.36637
BgeEVm000233t1	9900	9740.07	120.549	5.14517
BgeEVm017817t1	9888	9728.07	9.09482	0.388656
BgeEVm005521t1	9855	9695.07	1.07946	0.0462865
BgeEVm019863t1	669	509.084	11.9847	9.78669
BgeEVm021748t1	9852	9692.07	46.3515	1.98814
BgeEVm009369t1	5566	5406.07	133.804	10.2893
BgeEVm006356t5	3947	3787.07	4.54774	0.499219
BgeEVm001619t1	9800	9640.07	33.0596	1.42566
BgeEVm001956t1	9789	9629.07	0	0
BgeEVm015445t1	4967	4807.07	30.209	2.61249
BgeEVm010079t4	9784	9624.07	48.1217	2.07865
BgeEVm000510t1	9780	9620.07	40.0866	1.73229
BgeEVm017106t1	9734	9574.07	139.133	6.04132
BgeEVm000476t4	9731	9571.07	38.226	1.66034
BgeEVm005245t3	9718	9558.07	64.7444	2.81599
BgeEVm019012t1	9710	9550.07	33.5247	1.45934
BgeEVm004890t1	9703	9543.07	0	0
BgeEVm001016t1	9691	9531.07	70.6006	3.07939
BgeEVm018873t1	9652	9492.07	20.264	0.887491
BgeEVm013137t1	9649	9489.07	13.3782	0.586103
BgeEVm001500t1	9646	9486.07	11.0105	0.482525
BgeEVm000561t1	9630	9470.07	19.0801	0.837578
BgeEVm017411t1	9624	9464.07	73.7336	3.23882
BgeEVm001595t1	9621	9461.07	3.64923	0.160346
BgeEVm016383t1	9614	9454.07	51.3629	2.25855
BgeEVm020797t1	3320	3160.07	1.22074	0.160593
BgeEVm022429t1	4086	3926.07	9.09175	0.962693
BgeEVm027581t1	9579	9419.07	98.9515	4.3673
BgeEVm000101t1	9578	9418.07	25	1.10351
BgeEVm003852t1	9565	9405.07	0	0
BgeEVm017487t1	7189	7029.07	29.7871	1.76169
BgeEVm005655t1	9514	9354.07	37.0813	1.64798
BgeEVm019891t1	9458	9298.07	146.065	6.53057
BgeEVm021528t1	9435	9275.07	55.7491	2.49873
BgeEVm022461t1	5940	5780.07	3	0.215768
